Date,Purchase,NAV,Withdrawal
2013-03-20,1.3706,1.3685,1.3671
2013-03-21,1.3654,1.3633,1.3619
2013-03-22,1.3685,1.3664,1.3650
2013-03-25,1.3761,1.3740,1.3726
2013-03-26,1.3678,1.3657,1.3643
2013-03-27,1.3803,1.3782,1.3768
2013-03-28,1.3772,1.3751,1.3737
2013-04-02,1.3756,1.3735,1.3721
2013-04-03,1.3719,1.3698,1.3684
2013-04-04,1.3628,1.3607,1.3593
2013-04-05,1.3540,1.3519,1.3505
2013-04-08,1.3570,1.3549,1.3535
2013-04-09,1.3772,1.3751,1.3737
2013-04-10,1.3733,1.3712,1.3698
2013-04-11,1.3860,1.3839,1.3825
2013-04-12,1.3839,1.3818,1.3804
2013-04-15,1.3804,1.3783,1.3769
2013-04-16,1.3790,1.3769,1.3755
2013-04-17,1.3941,1.3920,1.3906
2013-04-18,1.3817,1.3796,1.3782
2013-04-19,1.3756,1.3735,1.3721
2013-04-22,1.3872,1.3851,1.3837
2013-04-23,1.4011,1.3990,1.3976
2013-04-24,1.4281,1.4259,1.4244
2013-04-26,1.4212,1.4190,1.4175
2013-04-29,1.4289,1.4267,1.4252
2013-04-30,1.4497,1.4475,1.4460
2013-05-01,1.4451,1.4429,1.4414
2013-05-02,1.4399,1.4377,1.4362
2013-05-03,1.4405,1.4383,1.4368
2013-05-06,1.4424,1.4402,1.4387
2013-05-07,1.4332,1.4310,1.4295
2013-05-08,1.4482,1.4460,1.4445
2013-05-09,1.4478,1.4456,1.4441
2013-05-10,1.4470,1.4448,1.4433
2013-05-13,1.4539,1.4517,1.4502
2013-05-14,1.4565,1.4543,1.4528
2013-05-15,1.4507,1.4485,1.4470
2013-05-16,1.4467,1.4445,1.4430
2013-05-17,1.4451,1.4429,1.4414
2013-05-20,1.4545,1.4523,1.4508
2013-05-21,1.4402,1.4380,1.4365
2013-05-22,1.4353,1.4331,1.4316
2013-05-23,1.4000,1.3979,1.3965
2013-05-24,1.3776,1.3755,1.3741
2013-05-27,1.3743,1.3722,1.3708
2013-05-28,1.3789,1.3768,1.3754
2013-05-29,1.3697,1.3676,1.3662
2013-05-30,1.3591,1.3570,1.3556
2013-05-31,1.3541,1.3520,1.3506
2013-06-03,1.3495,1.3474,1.3460
2013-06-04,1.3494,1.3473,1.3459
2013-06-05,1.3323,1.3303,1.3289
2013-06-06,1.3157,1.3137,1.3123
